NAICS2_NAME,SALARY_FROM
Information,94420
Finance and Insurance,81286
Health Care and Social Assistance,160000
Information,94420
Finance and Insurance,115300
Health Care and Social Assistance,40000
Information,143557
Information,128310
Information,128310
Information,128310
Information,128310
Information,128310
Finance and Insurance,109120
Information,128310
Finance and Insurance,100500
Information,146000
Information,40000
Finance and Insurance,115300
Finance and Insurance,115300
Finance and Insurance,115300
Finance and Insurance,107910
Finance and Insurance,59500
Finance and Insurance,104000
Finance and Insurance,69383
Finance and Insurance,207300
Finance and Insurance,58000
Finance and Insurance,86600
Finance and Insurance,145600
Health Care and Social Assistance,27300
Finance and Insurance,136400
Finance and Insurance,46000
Finance and Insurance,69230
Information,108000
Health Care and Social Assistance,85238
Information,127965
Information,106000
Finance and Insurance,90000
Information,45000
Finance and Insurance,53500
Finance and Insurance,79135
Information,106000
Finance and Insurance,90100
Finance and Insurance,124800
Finance and Insurance,50000
Information,126000
Finance and Insurance,111626
Finance and Insurance,142320
Finance and Insurance,81770
Finance and Insurance,104700
Finance and Insurance,71500
Information,145600
Finance and Insurance,129840
Information,117000
Information,117000
Health Care and Social Assistance,67400
Information,117000
Information,69992
Information,117000
Information,96250
Finance and Insurance,113840
Finance and Insurance,89990
Finance and Insurance,67400
Finance and Insurance,57700
Finance and Insurance,105600
Finance and Insurance,105600
Health Care and Social Assistance,89523
Finance and Insurance,67000
Information,52000
Finance and Insurance,67000
Finance and Insurance,67000
Finance and Insurance,125760
Information,180000
Information,111000
Information,124000
Finance and Insurance,61110
Information,33400
Health Care and Social Assistance,79789
Finance and Insurance,56500
Information,87166
Finance and Insurance,74000
Information,87166
Finance and Insurance,71500
Finance and Insurance,74000
Finance and Insurance,74000
Information,87166
Finance and Insurance,72576
Information,104740
Finance and Insurance,139500
Health Care and Social Assistance,139131
Finance and Insurance,103920
Finance and Insurance,56000
Health Care and Social Assistance,85821
Finance and Insurance,77200
Finance and Insurance,77200
Finance and Insurance,77200
Finance and Insurance,121770
Health Care and Social Assistance,70000
Finance and Insurance,76128
Finance and Insurance,88000
Finance and Insurance,31200
Finance and Insurance,31200
Finance and Insurance,31200
Information,183695
Finance and Insurance,31200
Finance and Insurance,31200
Finance and Insurance,31200
Information,183695
Finance and Insurance,31200
Finance and Insurance,52000
Information,242585
Finance and Insurance,31200
Finance and Insurance,31200
Information,183695
Finance and Insurance,85600
Finance and Insurance,61110
Information,112000
Finance and Insurance,110400
Finance and Insurance,98000
Finance and Insurance,89990
Finance and Insurance,102300
Finance and Insurance,85104
Information,97400
Information,87166
Information,87166
Information,87166
Finance and Insurance,102340
Finance and Insurance,124800
Information,206000
Finance and Insurance,176720
Information,206000
Finance and Insurance,163600
Finance and Insurance,56500
Information,104740
Finance and Insurance,74000
Information,111480
Health Care and Social Assistance,81494
Finance and Insurance,157643
Finance and Insurance,101231
Information,111000
Finance and Insurance,54373
Finance and Insurance,92114
Health Care and Social Assistance,35880
Finance and Insurance,71247
Health Care and Social Assistance,54142
Information,71200
Finance and Insurance,112400
Finance and Insurance,57700
Information,66206
Information,86900
Finance and Insurance,112400
Finance and Insurance,40768
Finance and Insurance,78800
Finance and Insurance,78800
Information,111480
Finance and Insurance,187600
Health Care and Social Assistance,75400
Health Care and Social Assistance,27300
Information,86900
Finance and Insurance,197500
Information,94420
Information,94420
Information,94420
Information,94420
Information,206000
Information,94420
Health Care and Social Assistance,37440
Information,77600
Health Care and Social Assistance,27300
Information,206000
Health Care and Social Assistance,99200
Finance and Insurance,103920
Health Care and Social Assistance,39998
Information,106100
Information,128310
Finance and Insurance,46359
Health Care and Social Assistance,140000
Information,128310
Finance and Insurance,66186
Finance and Insurance,99160
Information,96000
Information,50000
Health Care and Social Assistance,70000
Health Care and Social Assistance,81494
Health Care and Social Assistance,81494
Health Care and Social Assistance,81494
Information,63150
Health Care and Social Assistance,81494
Finance and Insurance,82200
Information,71200
Health Care and Social Assistance,60320
Finance and Insurance,46000
Finance and Insurance,95000
Information,43000
Finance and Insurance,87280
Finance and Insurance,70200
Finance and Insurance,74880
Finance and Insurance,40730
Health Care and Social Assistance,80900
Finance and Insurance,61110
Health Care and Social Assistance,71100
Finance and Insurance,125000
Finance and Insurance,47840
Information,183695
Health Care and Social Assistance,50128
Health Care and Social Assistance,67000
Information,97400
Health Care and Social Assistance,89565
Health Care and Social Assistance,89565
Health Care and Social Assistance,89565
Information,78998
Health Care and Social Assistance,89565
Information,97400
Information,27040
Finance and Insurance,82000
Finance and Insurance,67000
Health Care and Social Assistance,79893
Finance and Insurance,105600
Finance and Insurance,87280
Information,104740
Information,49296
Information,173000
Information,216118
Information,104740
Finance and Insurance,145600
Finance and Insurance,89990
Finance and Insurance,47840
Health Care and Social Assistance,81494
Information,137600
Health Care and Social Assistance,56160
Information,74000
Finance and Insurance,67000
Finance and Insurance,69360
Information,106100
