NAICS2_NAME,SKILL,skill_count
Finance and Insurance,"\"Influencing Skills\"",1726
Finance and Insurance,"\"Project Management\"",1406
Finance and Insurance,"\"Workflow Management\"",699
Finance and Insurance,"\"Healthcare Industry Knowledge\"",225
Finance and Insurance,"\"Observability\"",118
Finance and Insurance,"\"Business Workflow Analysis\"",25
Finance and Insurance,"\"Spotfire (Data Analytics Software)\"",25
Finance and Insurance,"\"Public Health\"",8
Health Care and Social Assistance,"\"Business Planning\"",78
Finance and Insurance,"\"Cloud-Native Computing\"",80
Finance and Insurance,"\"Chartered Financial Analyst\"",57
Health Care and Social Assistance,"[
  \"Healthcare Industry Knowledge\"",47
Health Care and Social Assistance,"\"Decision Making\"",460
Finance and Insurance,"[
  \"Coordinating\"",2
Information,"\"Configuration Management\"",34
Health Care and Social Assistance,"\"Database Management Systems\"",67
Finance and Insurance,"\"Executive Presentations\"",82
Finance and Insurance,"[
  \"Software Design\"",25
Finance and Insurance,"\"Generally Accepted Accounting Principles\"",40
Finance and Insurance,"\"Statistical Hypothesis Testing\"",16
Information,"\"Sprint Retrospectives\"",9
Finance and Insurance,"\"Customer Success Management\"",19
Finance and Insurance,"\"Statistical Modeling\"",170
Health Care and Social Assistance,"\"ServiceNow\"",66
Finance and Insurance,"\"Technology Solutions\"
]",37
Health Care and Social Assistance,"\"Medical Prescription\"",8
Finance and Insurance,"\"Spanish Language\"",8
Finance and Insurance,"\"Human Rights Issues\"",3
Information,"\"Open Source Development\"",2
Finance and Insurance,"\"International Institute Of Business Analysis (IIBA) Certified\"",1
Information,"\"Vlookups\"",47
Information,"\"Defect Tracking\"",9
Information,"\"Product Planning\"",1
Information,"\"Big Data\"
]",4
Health Care and Social Assistance,"\"Wufoo\"",1
Information,"\"Consumer Behaviour\"",16
Information,"\"Oracle Certified Professional (OCP)\"",1
Information,"\"LAMP (Software Bundle)\"",3
Information,"\"Application Frameworks\"",23
Finance and Insurance,"\"Conceptual Design\"",5
Health Care and Social Assistance,"\"Tenacity\"",5
Information,"\"Panel Data\"",3
Information,"\"Oracle Apex\"",2
Finance and Insurance,"\"Object-Oriented Analysis And Design\"",9
Finance and Insurance,"\"Apache Struts\"",2
Finance and Insurance,"\"Education Theories\"",2
Finance and Insurance,"\"Corporate Services\"",5
Information,"[
  \"SAP BusinessObjects\"",1
Health Care and Social Assistance,"\"Legal Support\"",1
Finance and Insurance,"\"Network Administration\"",1
Health Care and Social Assistance,"\"Generally Accepted Accounting Principles\"",6
Information,"[
  \"Oracle E-Business Suite\"",14
Health Care and Social Assistance,"\"Cardiac Arrest\"",1
Finance and Insurance,"\"Reltio (Master Data Management Software)\"",3
Health Care and Social Assistance,"\"Routing Protocols\"",1
Finance and Insurance,"[
  \"Coaching\"",16
Health Care and Social Assistance,"\"Qualification Protocols (IQ/OQ/PQ)\"",1
Information,"\"Import/Export Regulatory Compliance\"",1
Finance and Insurance,"\"Lightning Web Components\"",2
Health Care and Social Assistance,"\"Cardiopulmonary Resuscitation (CPR) Certification\"
]",4
Finance and Insurance,"\"Technology Life Cycle\"",3
Finance and Insurance,"\"Intrusion Detection Systems\"",2
Health Care and Social Assistance,"\"MapReduce\"",3
Finance and Insurance,"\"Internal Control System\"",1
Finance and Insurance,"\"ISO/IEC 27002\"",1
Health Care and Social Assistance,"\"Business Correspondence\"",3
Health Care and Social Assistance,"\"HR Consulting\"",1
Finance and Insurance,"\"Web Frameworks\"",1
Finance and Insurance,"\"SAP Financial Management\"",2
Finance and Insurance,"\"Suspicious Activity Report\"",2
Health Care and Social Assistance,"\"Project Selection\"",2
Finance and Insurance,"[
  \"Training And Development\"",4
Health Care and Social Assistance,"\"Ukrainian Language\"
]",1
Finance and Insurance,"\"Check Cashing\"",1
Information,"\"Product Innovation\"",2
Information,"\"Cross-Functional Coordination\"",1
Health Care and Social Assistance,"[
  \"Cultural Sensitivity\"",1
Health Care and Social Assistance,"[
  \"Predictive Analytics\"",1
Information,"\"Advance Ship Notice\"",1
Health Care and Social Assistance,"\"Pilot Experiment\"",1
Health Care and Social Assistance,"\"Secure Programming\"",1
Finance and Insurance,"\"Unified Communications\"",1
Information,"\"Volume License Key\"",1
Health Care and Social Assistance,"\"Cisco Certified Internetwork Expert\"",3
Information,"\"Data Pipelines\"",248
Information,"\"Risk Mitigation\"",36
Information,"\"Microservices\"",138
Finance and Insurance,"\"Data Cleansing\"",108
Finance and Insurance,"\"Risk Control\"",64
Health Care and Social Assistance,"\"Systems Analysis\"",83
Finance and Insurance,"\"Due Diligence\"",82
Finance and Insurance,"\"Financial Data\"",134
Finance and Insurance,"\"OneStream (CPM Software)\"",9
Health Care and Social Assistance,"\"Statistical Methods\"",42
Health Care and Social Assistance,"\"Management Reporting\"",28
Health Care and Social Assistance,"\"Claims And Litigation Management\"",2
Finance and Insurance,"\"Node.js (Javascript Library)\"",18
Information,"\"User Experience (UX)\"",94
Finance and Insurance,"\"Application Monitoring\"",13
Finance and Insurance,"\"Splunk\"",62
Information,"\"AWS Certified Solutions Architect\"",16
Finance and Insurance,"\"Lean Principles\"",3
Finance and Insurance,"\"OAuth\"",20
Finance and Insurance,"\"Optimization Software\"",16
Finance and Insurance,"\"Endpoint Security\"",10
Information,"\"Autodesk\"",17
Information,"\"Regional Sales\"",5
Information,"\"VxLAN (Virtual Extensible LAN)\"",2
Health Care and Social Assistance,"\"Digitization\"",1
Finance and Insurance,"\"Help Desk Support\"
]",4
Finance and Insurance,"\"System Procedures\"",2
Health Care and Social Assistance,"\"Loop Electrosurgical Excision Procedure\"
]",1
Health Care and Social Assistance,"\"Organizational Structure\"
]",2
Finance and Insurance,"\"Bearing Capacities\"",2
Health Care and Social Assistance,"\"Discharge Planning\"",1
Information,"\"Data Encryption\"",4
Information,"\"Certified In Risk And Information Systems Control\"",3
Information,"\"Office Administration\"",1
Finance and Insurance,"\"Audit Scheduling\"",2
Finance and Insurance,"\"Automation Controls\"",1
Health Care and Social Assistance,"\"Network Planning And Design\"",1
Information,"\"Supplier Diversity\"",1
Finance and Insurance,"[
  \"Cardiopulmonary Resuscitation (CPR)\"",2
Finance and Insurance,"[
  \"Non-Verbal Communication\"",1
Information,"\"Extroverted\"",1
Finance and Insurance,"[
  \"Insurance Products\"",4
Information,"\"System Interface Management\"
]",1
Finance and Insurance,"\"Transport Layer Security (TLS)\"",4
Information,"\"React Redux\"",1
Health Care and Social Assistance,"\"Neurointensive Care\"",1
Information,"[
  \"Apache Kafka\"",2
Information,"\"Sales Excellence\"",1
Information,"\"Liquidity Risk\"",2
Health Care and Social Assistance,"[
  \"Data Management\"",2
Health Care and Social Assistance,"\"Body Language\"",1
Finance and Insurance,"\"AWS Cloud Development Kit (CDK)\"",1
Information,"\"Language Education\"",1
Finance and Insurance,"[
  \"Data Engineering\"
]",1
Information,"[
  \"Accounts Payable\"",1
Health Care and Social Assistance,"\"Network Connections\"",1
Finance and Insurance,"\"Database Analysis\"",1
Health Care and Social Assistance,"\"Mobileiron\"",1
Finance and Insurance,"\"Exception Reporting\"",94
Health Care and Social Assistance,"\"Investments\"",32
Finance and Insurance,"\"Apache Hadoop\"",400
Finance and Insurance,"\"SQL (Programming Language)\"",2817
Information,"\"Customer Relationship Management\"",309
Finance and Insurance,"\"JavaScript Frameworks\"",31
Finance and Insurance,"\"Test Engineering\"",35
Information,"\"Data Storage\"",62
Finance and Insurance,"\"Technological Change\"",26
Finance and Insurance,"[
  \"Curiosity\"",60
Health Care and Social Assistance,"\"Organizational Leadership\"",41
Information,"\"Web Services\"",82
Finance and Insurance,"\"ISO/IEC 27001\"",9
Information,"\"Acceptance Testing\"",87
Health Care and Social Assistance,"\"Google Analytics\"",5
Finance and Insurance,"\"Product Definition\"",10
Finance and Insurance,"\"Market Analysis\"",12
Health Care and Social Assistance,"\"Hybrid Cloud Computing\"",4
Finance and Insurance,"\"Quantitative Modeling\"",18
Information,"\"Distributed Computing\"",63
Information,"\"Payroll Processing\"",5
Finance and Insurance,"\"Multivariate Analysis Of Variance\"",3
Information,"[
  \"Functional Specification\"",1
Health Care and Social Assistance,"\"Kinaxis (Software)\"",1
Finance and Insurance,"\"Product Planning\"",4
Finance and Insurance,"\"Elastic Load Balancer\"",1
Finance and Insurance,"\"Amazon DynamoDB\"",5
Information,"\"Unix Shell\"",14
Finance and Insurance,"\"Transaction Data\"",44
Health Care and Social Assistance,"\"Failure Mode And Effects Analysis\"",7
Information,"\"Social Media\"",9
Information,"\"IT General Controls (ITGC)\"",5
Health Care and Social Assistance,"\"Attribution Modeling\"",1
Health Care and Social Assistance,"\"Public Health Laws\"",1
Health Care and Social Assistance,"\"GIS Mapping\"",2
Finance and Insurance,"\"Functional Programming Languages\"",4
Information,"\"Health Economics And Outcomes Research (HEOR)\"",3
Finance and Insurance,"\"Incident Management\"",28
Information,"\"Vertica\"",3
Finance and Insurance,"\"Markdown\"",1
Information,"\"Property Management\"",3
Health Care and Social Assistance,"\"Force.Com\"",5
Health Care and Social Assistance,"\"Exploitation\"
]",2
Finance and Insurance,"\"IBM Curam\"",2
Information,"\"Decision Making Software\"",1
Information,"\"Liability Insurance\"",2
Information,"\"Operationalization\"",1
Health Care and Social Assistance,"[
  \"Change Control\"",2
Health Care and Social Assistance,"\"Content Creation\"",2
Information,"[
  \"Certified Power Quality Professional\"
]",1
Health Care and Social Assistance,"\"Legal Hearings\"",2
Information,"\"COBOL (Programming Language)\"
]",2
Finance and Insurance,"\"Bank Statements\"",2
Finance and Insurance,"\"Project Reference\"",1
Information,"\"Rapid Prototyping\"",5
Finance and Insurance,"\"Target Market\"",2
Finance and Insurance,"\"Activity-Based Costing\"",2
Information,"[
  \"SAP Applications\"
]",4
Information,"\"Transpiler\"",1
Finance and Insurance,"\"Category Management\"",2
Information,"\"Application Specific Integrated Circuits\"",1
Information,"\"International Business\"",1
Health Care and Social Assistance,"\"Financial Policy\"
]",1
Finance and Insurance,"\"Customer Data Management\"
]",1
Information,"\"Multi-Line Phone Systems\"",1
Finance and Insurance,"\"TriZetto Facets\"",1
Health Care and Social Assistance,"\"Wolfram Mathematica\"
]",1
Finance and Insurance,"[
  \"Decisiveness\"",1
Finance and Insurance,"\"Real World Evidence\"",1
Finance and Insurance,"\"Goal Setting\"
]",1
Information,"[
  \"Project Portfolio Management\"",62
Finance and Insurance,"\"Management Consulting\"",136
Finance and Insurance,"\"Process Engineering\"",64
Finance and Insurance,"\"Emerging Technologies\"",479
Finance and Insurance,"\"Program Evaluation\"
]",1
Information,"[
  \"Workflow Management\"",102
Health Care and Social Assistance,"\"SQL (Programming Language)\"",1150
Information,"\"Tax Consulting\"",9
Finance and Insurance,"\"Global Risk Management\"",5
Finance and Insurance,"\"Virtual Teams\"",71
Finance and Insurance,"\"Design Documentation\"",13
Health Care and Social Assistance,"\"Quality Control\"",99
Health Care and Social Assistance,"\"Database As A Service (DBaaS)\"",1
Information,"\"Certification Of Capability In Business Analysis (CCBA)\"",2
Health Care and Social Assistance,"\"Data Lineage\"",59
Finance and Insurance,"\"Crystal Reports (Reporting Software)\"",21
Health Care and Social Assistance,"\"Microsoft SharePoint\"",42
Health Care and Social Assistance,"\"Financial Market\"",4
Finance and Insurance,"\"Ab Initio (Software)\"
]",9
Health Care and Social Assistance,"\"Data Strategy\"",19
Finance and Insurance,"\"Pronunciation\"",4
Information,"\"Reference Architecture\"",46
Information,"\"Sales Engineering\"
]",15
Information,"\"Zoom (Video Conferencing Tool)\"",11
Information,"[
  \"System Support\"",1
Finance and Insurance,"\"Keys And Locks\"",6
Information,"\"Queue Management\"",2
Finance and Insurance,"\"Jersey (Java Framework)\"",23
Finance and Insurance,"\"DevOps\"
]",15
Information,"\"ANSYS Meshing\"",2
Finance and Insurance,"\"Remote Infrastructure Management\"",10
Finance and Insurance,"\"Azure Event Hubs\"",4
Information,"\"Exploitation\"",3
Finance and Insurance,"[
  \"Business Architecture Certification\"",4
Health Care and Social Assistance,"\"Windows PowerShell\"
]",2
Finance and Insurance,"[
  \"Capacity Planning\"",24
Health Care and Social Assistance,"\"HubSpot CRM\"",3
Health Care and Social Assistance,"\"Registered Pharmacist (RPh)\"",4
Information,"[
  \"Ingenuity\"",6
Health Care and Social Assistance,"[
  \"Project Management\"",1
Information,"\"Agile Certification\"",1
Information,"\"Learning Aids\"",1
Information,"\"Warehouse Management\"",7
Health Care and Social Assistance,"\"ChatGPT\"",3
Finance and Insurance,"\"Customer Lifecycle Management\"",3
Information,"\"Extreme Programming\"",1
Information,"\"Smartphone Operation\"",4
Information,"\"Refinery Experience\"",1
Health Care and Social Assistance,"\"Injury Severity Scoring\"",5
Health Care and Social Assistance,"\"Aruba (Network Management Software)\"",1
Information,"\"Extended Reach Drilling\"",1
Health Care and Social Assistance,"\"Asset Management\"",6
Information,"\"Portlet\"
]",1
Health Care and Social Assistance,"\"CompTIA Network+\"
]",1
Health Care and Social Assistance,"\"Supply Chain Optimization\"",1
Finance and Insurance,"\"Marketing Management\"",3
Finance and Insurance,"\"Mixed Martial Arts\"",1
Finance and Insurance,"\"Message Format\"",1
Finance and Insurance,"\"Query Languages\"
]",1
Information,"\"ESG Research And Analysis\"",1
Information,"\"User Provisioning\"",1
Health Care and Social Assistance,"\"Water Supply Networks\"",1
Finance and Insurance,"\"Code Testing\"",4
Health Care and Social Assistance,"\"Tax Deductions\"",1
Information,"\"Financial Modeling\"
]",1
Finance and Insurance,"\"Webpack\"",1
Finance and Insurance,"\"Extensible Stylesheet Language (XSL)\"",1
Health Care and Social Assistance,"\"SAP Sales And Distribution\"",1
Information,"\"PMI Agile Certified Practitioner\"",1
Finance and Insurance,"\"Performance Appraisal\"
]",1
Information,"\"Virtual Private LAN Services\"",1
Health Care and Social Assistance,"\"Perspective (Graphical)\"",1
Information,"\"Website Metrics\"",1
Information,"\"Procedure Development\"",1
Health Care and Social Assistance,"\"Flow Cytometry\"",1
Information,"\"Litigation Support\"",1
Information,"\"Statistical Reporting\"",1
Health Care and Social Assistance,"\"Revenue Forecasting\"
]",15
Health Care and Social Assistance,"\"Technical Design\"",39
Finance and Insurance,"\"Wealth Management\"",258
Finance and Insurance,"\"Operational Risk\"",79
Health Care and Social Assistance,"\"Visual Analytics\"",5
Health Care and Social Assistance,"[
  \"Customer Service\"",268
Finance and Insurance,"\"Microservices\"",167
Information,"\"Code Review\"",47
Information,"\"Health Information Management\"",11
Finance and Insurance,"[
  \"Financial Systems\"",13
Information,"\"Workshop Facilitation\"
]",11
Information,"\"Presales\"",51
Information,"[
  \"Coaching\"",4
Finance and Insurance,"\"Plant Design Management System (PDMS)\"",2
Information,"[
  \"Mitigation\"",13
Information,"\"Computer Literacy\"",11
Health Care and Social Assistance,"\"Medicare Compliance\"",4
Finance and Insurance,"\"Sales Strategy\"",13
Finance and Insurance,"\"Filing\"
]",11
