POSTED,job_count
8/6/2024,493
5/8/2024,471
9/19/2024,754
6/24/2024,423
9/12/2024,677
5/28/2024,280
7/16/2024,556
8/20/2024,915
6/15/2024,216
8/28/2024,620
8/22/2024,638
5/12/2024,708
6/26/2024,737
9/18/2024,700
9/30/2024,553
6/16/2024,119
8/21/2024,811
8/23/2024,596
8/14/2024,477
6/11/2024,727
7/18/2024,488
6/27/2024,921
7/20/2024,247
6/2/2024,396
7/22/2024,425
7/27/2024,211
6/23/2024,104
7/21/2024,95
5/7/2024,516
5/17/2024,462
8/19/2024,410
9/9/2024,469
9/4/2024,815
5/19/2024,170
5/11/2024,594
5/22/2024,632
9/13/2024,593
7/31/2024,481
6/28/2024,634
5/15/2024,572
5/10/2024,599
9/1/2024,153
8/9/2024,598
7/2/2024,576
6/29/2024,215
7/30/2024,508
9/21/2024,334
6/9/2024,201
8/26/2024,358
8/2/2024,688
8/27/2024,629
8/16/2024,718
6/20/2024,494
9/6/2024,744
5/29/2024,508
7/14/2024,94
7/15/2024,402
6/4/2024,453
7/23/2024,647
9/8/2024,94
5/23/2024,455
9/10/2024,515
5/6/2024,169
8/7/2024,737
6/6/2024,598
6/22/2024,216
8/1/2024,694
9/25/2024,690
8/31/2024,243
5/21/2024,639
6/5/2024,720
5/20/2024,369
5/14/2024,386
6/8/2024,375
6/17/2024,460
9/11/2024,494
6/1/2024,551
5/27/2024,54
8/18/2024,214
7/9/2024,650
9/26/2024,924
5/3/2024,679
5/26/2024,222
9/16/2024,457
7/28/2024,120
8/17/2024,250
5/2/2024,437
9/2/2024,136
9/29/2024,461
6/18/2024,616
8/25/2024,122
9/5/2024,652
9/15/2024,124
7/24/2024,532
5/4/2024,573
8/8/2024,516
6/3/2024,301
8/15/2024,533
7/10/2024,568
8/12/2024,474
7/4/2024,162
6/13/2024,809
8/3/2024,180
5/13/2024,300
9/22/2024,218
6/7/2024,423
8/10/2024,273
7/29/2024,384
9/23/2024,518
7/11/2024,493
9/20/2024,550
6/25/2024,632
9/3/2024,515
9/7/2024,288
7/25/2024,484
5/18/2024,599
5/30/2024,517
9/28/2024,288
7/5/2024,391
7/19/2024,428
6/14/2024,685
8/5/2024,480
7/17/2024,682
6/10/2024,419
9/14/2024,206
5/16/2024,557
7/13/2024,206
9/27/2024,773
7/26/2024,495
8/4/2024,136
7/12/2024,503
9/17/2024,688
7/6/2024,143
5/31/2024,872
8/30/2024,540
5/24/2024,1050
8/24/2024,278
6/21/2024,693
8/13/2024,645
7/7/2024,70
7/8/2024,426
9/24/2024,954
5/9/2024,619
6/12/2024,708
6/19/2024,435
5/25/2024,459
8/29/2024,602
6/30/2024,109
7/3/2024,556
8/11/2024,241
5/1/2024,506
7/1/2024,484
5/5/2024,159
